;;;;;;;;;;;;;;;;;x
create_foreign_legion_title;Create a Foreign Legion;;;;;;;;;;;;;;;;x
create_foreign_legion_desc;There is a proposition to create an elite special branch in our military for foreign recruits. This force will be better trained and equipped than our regular armies.;;;;;;;;;;;;;;;;x
build_museum_title;Build a National Museum;;;;;;;;;;;;;;;;x
build_museum_desc;We should create an institution to display the archaeological achievements of our nation.;;;;;;;;;;;;;;;;x
mesopotamian_excavations_title;Mesopotamian Excavations;;;;;;;;;;;;;;;;x
mesopotamian_excavations_desc;The Craddle Of Civilizations awaits;;;;;;;;;;;;;;;;x
maya_excavations_title;Maya Excavations;;;;;;;;;;;;;;;;x
maya_excavations_desc;We could search for the remnants of the ancient Cental American civilization;;;;;;;;;;;;;;;;x
forced_maya_excavations_title;Forced Maya Excavations;;;;;;;;;;;;;;;;x
forced_maya_excavations_desc;It seems We must use force to search for those ancient ruins.;;;;;;;;;;;;;;;;x
pompeji_fiorelli_title;Search for the Lost City;;;;;;;;;;;;;;;;x
pompeji_fiorelli_desc;There are rumors about an ancient city lying beneath the ground. If the rumor is true, It would be an amazing discovery. We should start searching.;;;;;;;;;;;;;;;;x
